date,site_code,discharge_cfs
2015-10-06T00:00:00.000,01010000,989.0
2015-10-07T00:00:00.000,01010000,795.0
2015-10-08T00:00:00.000,01010000,662.0
2015-10-09T00:00:00.000,01010000,576.0
2015-10-10T00:00:00.000,01010000,528.0
2015-10-11T00:00:00.000,01010000,536.0
2015-10-12T00:00:00.000,01010000,538.0
2015-10-13T00:00:00.000,01010000,524.0
2015-10-14T00:00:00.000,01010000,479.0
2015-10-15T00:00:00.000,01010000,430.0
2015-10-16T00:00:00.000,01010000,458.0
2015-10-17T00:00:00.000,01010000,833.0
2015-10-18T00:00:00.000,01010000,955.0
2015-10-19T00:00:00.000,01010000,914.0
2015-10-20T00:00:00.000,01010000,778.0
2015-10-21T00:00:00.000,01010000,689.0
2015-10-22T00:00:00.000,01010000,648.0
2015-10-23T00:00:00.000,01010000,636.0
2015-10-24T00:00:00.000,01010000,632.0
2015-10-25T00:00:00.000,01010000,650.0
2015-10-26T00:00:00.000,01010000,1650.0
2015-10-27T00:00:00.000,01010000,1740.0
2015-10-28T00:00:00.000,01010000,1400.0
2015-10-29T00:00:00.000,01010000,3140.0
2015-10-30T00:00:00.000,01010000,7510.0
2015-10-31T00:00:00.000,01010000,5650.0
2015-11-01T00:00:00.000,01010000,3900.0
2015-11-02T00:00:00.000,01010000,3410.0
2015-11-03T00:00:00.000,01010000,3310.0
2015-11-04T00:00:00.000,01010000,3340.0
2015-11-05T00:00:00.000,01010000,2940.0
2015-11-06T00:00:00.000,01010000,2440.0
2015-11-07T00:00:00.000,01010000,2120.0
2015-11-08T00:00:00.000,01010000,1840.0
2015-11-09T00:00:00.000,01010000,1560.0
2015-11-10T00:00:00.000,01010000,1360.0
2015-11-11T00:00:00.000,01010000,1210.0
2015-11-12T00:00:00.000,01010000,1110.0
2015-11-13T00:00:00.000,01010000,1250.0
2015-11-14T00:00:00.000,01010000,2160.0
2015-11-15T00:00:00.000,01010000,2270.0
2015-11-16T00:00:00.000,01010000,1950.0
2015-11-17T00:00:00.000,01010000,1630.0
2015-11-18T00:00:00.000,01010000,1380.0
2015-11-19T00:00:00.000,01010000,1200.0
2015-11-20T00:00:00.000,01010000,2000.0
2015-11-21T00:00:00.000,01010000,5330.0
2015-11-22T00:00:00.000,01010000,4670.0
2015-11-23T00:00:00.000,01010000,3500.0
2015-11-24T00:00:00.000,01010000,2590.0
2015-11-25T00:00:00.000,01010000,1770.0
2015-11-26T00:00:00.000,01010000,1450.0
2015-11-27T00:00:00.000,01010000,1460.0
2015-11-28T00:00:00.000,01010000,1610.0
2015-11-29T00:00:00.000,01010000,1690.0
2015-11-30T00:00:00.000,01010000,1140.0
2015-12-01T00:00:00.000,01010000,987.0
2015-12-02T00:00:00.000,01010000,1170.0
2015-12-03T00:00:00.000,01010000,1370.0
2015-12-04T00:00:00.000,01010000,1970.0
2015-12-05T00:00:00.000,01010000,2380.0
2015-12-06T00:00:00.000,01010000,2160.0
2015-12-07T00:00:00.000,01010000,1980.0
2015-12-08T00:00:00.000,01010000,1800.0
2015-12-09T00:00:00.000,01010000,1560.0
2015-12-10T00:00:00.000,01010000,1470.0
2015-12-11T00:00:00.000,01010000,1400.0
2015-12-12T00:00:00.000,01010000,1400.0
2015-12-13T00:00:00.000,01010000,1640.0
2015-12-14T00:00:00.000,01010000,1780.0
2015-12-15T00:00:00.000,01010000,1660.0
2015-12-16T00:00:00.000,01010000,1470.0
2015-12-17T00:00:00.000,01010000,1630.0
2015-12-18T00:00:00.000,01010000,1830.0
2015-12-19T00:00:00.000,01010000,2400.0
2015-12-20T00:00:00.000,01010000,2640.0
2015-12-21T00:00:00.000,01010000,2200.0
2015-12-22T00:00:00.000,01010000,1990.0
2015-12-23T00:00:00.000,01010000,1900.0
2015-12-24T00:00:00.000,01010000,2430.0
2015-12-25T00:00:00.000,01010000,6270.0
2015-12-26T00:00:00.000,01010000,8550.0
2015-12-27T00:00:00.000,01010000,6410.0
2015-12-28T00:00:00.000,01010000,4340.0
2015-12-29T00:00:00.000,01010000,3250.0
2015-12-30T00:00:00.000,01010000,2730.0
2015-12-31T00:00:00.000,01010000,2430.0
2016-01-01T00:00:00.000,01010000,2170.0
2016-01-02T00:00:00.000,01010000,1950.0
2016-01-03T00:00:00.000,01010000,1800.0
2016-01-04T00:00:00.000,01010000,1690.0
2016-01-05T00:00:00.000,01010000,1620.0
2016-01-06T00:00:00.000,01010000,1570.0
2016-01-07T00:00:00.000,01010000,1520.0
2016-01-08T00:00:00.000,01010000,1480.0
2016-01-09T00:00:00.000,01010000,1460.0
2016-01-10T00:00:00.000,01010000,1570.0
2016-01-11T00:00:00.000,01010000,1810.0
2016-01-12T00:00:00.000,01010000,2040.0
2016-01-13T00:00:00.000,01010000,2040.0
2016-01-14T00:00:00.000,01010000,1880.0
2016-01-15T00:00:00.000,01010000,1740.0
2016-01-16T00:00:00.000,01010000,1600.0
2016-01-17T00:00:00.000,01010000,1480.0
2016-01-18T00:00:00.000,01010000,1360.0
2016-01-19T00:00:00.000,01010000,1250.0
2016-01-20T00:00:00.000,01010000,1150.0
2016-01-21T00:00:00.000,01010000,1080.0
2016-01-22T00:00:00.000,01010000,1020.0
2016-01-23T00:00:00.000,01010000,967.0
2016-01-24T00:00:00.000,01010000,926.0
2016-01-25T00:00:00.000,01010000,885.0
2016-01-26T00:00:00.000,01010000,852.0
2016-01-27T00:00:00.000,01010000,831.0
2016-01-28T00:00:00.000,01010000,817.0
2016-01-29T00:00:00.000,01010000,808.0
2016-01-30T00:00:00.000,01010000,803.0
2016-01-31T00:00:00.000,01010000,799.0
2016-02-01T00:00:00.000,01010000,795.0
2016-02-02T00:00:00.000,01010000,795.0
2016-02-03T00:00:00.000,01010000,813.0
2016-02-04T00:00:00.000,01010000,893.0
2016-02-05T00:00:00.000,01010000,1050.0
2016-02-06T00:00:00.000,01010000,1270.0
2016-02-07T00:00:00.000,01010000,1250.0
2016-02-08T00:00:00.000,01010000,1150.0
2016-02-09T00:00:00.000,01010000,1080.0
2016-02-10T00:00:00.000,01010000,1040.0
2016-02-11T00:00:00.000,01010000,986.0
2016-02-12T00:00:00.000,01010000,931.0
2016-02-13T00:00:00.000,01010000,867.0
2016-02-14T00:00:00.000,01010000,808.0
2016-02-15T00:00:00.000,01010000,763.0
2016-02-16T00:00:00.000,01010000,737.0
2016-02-17T00:00:00.000,01010000,812.0
2016-02-18T00:00:00.000,01010000,1010.0
2016-02-19T00:00:00.000,01010000,1230.0
2016-02-20T00:00:00.000,01010000,1350.0
2016-02-21T00:00:00.000,01010000,1360.0
2016-02-22T00:00:00.000,01010000,1300.0
2016-02-23T00:00:00.000,01010000,1250.0
2016-02-24T00:00:00.000,01010000,1200.0
2016-02-25T00:00:00.000,01010000,1260.0
2016-02-26T00:00:00.000,01010000,1710.0
2016-02-27T00:00:00.000,01010000,3120.0
2016-02-28T00:00:00.000,01010000,3970.0
2016-02-29T00:00:00.000,01010000,3840.0
2016-03-01T00:00:00.000,01010000,3590.0
2016-03-02T00:00:00.000,01010000,3320.0
2016-03-03T00:00:00.000,01010000,3060.0
2016-03-04T00:00:00.000,01010000,2840.0
2016-03-05T00:00:00.000,01010000,2610.0
2016-03-06T00:00:00.000,01010000,2400.0
2016-03-07T00:00:00.000,01010000,2220.0
2016-03-08T00:00:00.000,01010000,2080.0
2016-03-09T00:00:00.000,01010000,1980.0
2016-03-10T00:00:00.000,01010000,2090.0
2016-03-11T00:00:00.000,01010000,2830.0
2016-03-12T00:00:00.000,01010000,4230.0
2016-03-13T00:00:00.000,01010000,5230.0
2016-03-14T00:00:00.000,01010000,5040.0
2016-03-15T00:00:00.000,01010000,4440.0
2016-03-16T00:00:00.000,01010000,4110.0
2016-03-17T00:00:00.000,01010000,4300.0
2016-03-18T00:00:00.000,01010000,4460.0
2016-03-19T00:00:00.000,01010000,4250.0
2016-03-20T00:00:00.000,01010000,3910.0
2016-03-21T00:00:00.000,01010000,3630.0
2016-03-22T00:00:00.000,01010000,3430.0
2016-03-23T00:00:00.000,01010000,3240.0
2016-03-24T00:00:00.000,01010000,3030.0
2016-03-25T00:00:00.000,01010000,2910.0
2016-03-26T00:00:00.000,01010000,2820.0
2016-03-27T00:00:00.000,01010000,2770.0
2016-03-28T00:00:00.000,01010000,3090.0
2016-03-29T00:00:00.000,01010000,4030.0
2016-03-30T00:00:00.000,01010000,5680.0
2016-03-31T00:00:00.000,01010000,8000.0
2016-04-01T00:00:00.000,01010000,10600.0
2016-04-02T00:00:00.000,01010000,12600.0
2016-04-03T00:00:00.000,01010000,12800.0
2016-04-04T00:00:00.000,01010000,12000.0
2016-04-05T00:00:00.000,01010000,10100.0
2016-04-06T00:00:00.000,01010000,7610.0
2016-04-07T00:00:00.000,01010000,5830.0
2016-04-08T00:00:00.000,01010000,5450.0
2016-04-09T00:00:00.000,01010000,7260.0
2016-04-10T00:00:00.000,01010000,7510.0
2016-04-11T00:00:00.000,01010000,6540.0
2016-04-12T00:00:00.000,01010000,5540.0
2016-04-13T00:00:00.000,01010000,6040.0
2016-04-14T00:00:00.000,01010000,6830.0
2016-04-15T00:00:00.000,01010000,7010.0
2016-04-16T00:00:00.000,01010000,7460.0
2016-04-17T00:00:00.000,01010000,8710.0
2016-04-18T00:00:00.000,01010000,11800.0
2016-04-19T00:00:00.000,01010000,13500.0
2016-04-20T00:00:00.000,01010000,12500.0
2016-04-21T00:00:00.000,01010000,11600.0
2016-04-22T00:00:00.000,01010000,12900.0
2016-04-23T00:00:00.000,01010000,14400.0
2016-04-24T00:00:00.000,01010000,13500.0
2016-04-25T00:00:00.000,01010000,10400.0
2016-04-26T00:00:00.000,01010000,7690.0
2016-04-27T00:00:00.000,01010000,5990.0
2016-04-28T00:00:00.000,01010000,4860.0
2016-04-29T00:00:00.000,01010000,4010.0
2016-04-30T00:00:00.000,01010000,3550.0
2016-05-01T00:00:00.000,01010000,3490.0
2016-05-02T00:00:00.000,01010000,4070.0
2016-05-03T00:00:00.000,01010000,5660.0
2016-05-04T00:00:00.000,01010000,6200.0
2016-05-05T00:00:00.000,01010000,6020.0
2016-05-06T00:00:00.000,01010000,6070.0
2016-05-07T00:00:00.000,01010000,6150.0
2016-05-08T00:00:00.000,01010000,6170.0
2016-05-09T00:00:00.000,01010000,6240.0
2016-05-10T00:00:00.000,01010000,5030.0
2016-05-11T00:00:00.000,01010000,3910.0
2016-05-12T00:00:00.000,01010000,3200.0
2016-05-13T00:00:00.000,01010000,2770.0
2016-05-14T00:00:00.000,01010000,2960.0
2016-05-15T00:00:00.000,01010000,3470.0
2016-05-16T00:00:00.000,01010000,4110.0
2016-05-17T00:00:00.000,01010000,3820.0
2016-05-18T00:00:00.000,01010000,3180.0
2016-05-19T00:00:00.000,01010000,2650.0
2016-05-20T00:00:00.000,01010000,2180.0
2016-05-21T00:00:00.000,01010000,1800.0
2016-05-22T00:00:00.000,01010000,1510.0
2016-05-23T00:00:00.000,01010000,1240.0
2016-05-24T00:00:00.000,01010000,1040.0
2016-05-25T00:00:00.000,01010000,891.0
2016-05-26T00:00:00.000,01010000,773.0
2016-05-27T00:00:00.000,01010000,715.0
2016-05-28T00:00:00.000,01010000,766.0
2016-05-29T00:00:00.000,01010000,936.0
2016-05-30T00:00:00.000,01010000,1070.0
2016-05-31T00:00:00.000,01010000,1250.0
2016-06-01T00:00:00.000,01010000,1060.0
2016-06-02T00:00:00.000,01010000,854.0
2016-06-03T00:00:00.000,01010000,711.0
2016-06-04T00:00:00.000,01010000,695.0
2016-06-05T00:00:00.000,01010000,685.0
2016-06-06T00:00:00.000,01010000,1850.0
2016-06-07T00:00:00.000,01010000,4110.0
2016-06-08T00:00:00.000,01010000,3280.0
2016-06-09T00:00:00.000,01010000,2410.0
2016-06-10T00:00:00.000,01010000,1800.0
2016-06-11T00:00:00.000,01010000,1450.0
2016-06-12T00:00:00.000,01010000,1350.0
2016-06-13T00:00:00.000,01010000,2270.0
2016-06-14T00:00:00.000,01010000,2720.0
2016-06-15T00:00:00.000,01010000,2440.0
2016-06-16T00:00:00.000,01010000,1780.0
2016-06-17T00:00:00.000,01010000,1270.0
2016-06-18T00:00:00.000,01010000,941.0
2016-06-19T00:00:00.000,01010000,736.0
2016-06-20T00:00:00.000,01010000,602.0
2016-06-21T00:00:00.000,01010000,537.0
2016-06-22T00:00:00.000,01010000,553.0
2016-06-23T00:00:00.000,01010000,511.0
2016-06-24T00:00:00.000,01010000,446.0
2016-06-25T00:00:00.000,01010000,386.0
2016-06-26T00:00:00.000,01010000,331.0
2016-06-27T00:00:00.000,01010000,289.0
2016-06-28T00:00:00.000,01010000,259.0
2016-06-29T00:00:00.000,01010000,265.0
2016-06-30T00:00:00.000,01010000,344.0
2016-07-01T00:00:00.000,01010000,786.0
2016-07-02T00:00:00.000,01010000,977.0
2016-07-03T00:00:00.000,01010000,941.0
2016-07-04T00:00:00.000,01010000,868.0
2016-07-05T00:00:00.000,01010000,752.0
2016-07-06T00:00:00.000,01010000,626.0
2016-07-07T00:00:00.000,01010000,656.0
2016-07-08T00:00:00.000,01010000,1660.0
2016-07-09T00:00:00.000,01010000,2100.0
2016-07-10T00:00:00.000,01010000,1950.0
2016-07-11T00:00:00.000,01010000,3520.0
2016-07-12T00:00:00.000,01010000,3540.0
2016-07-13T00:00:00.000,01010000,2450.0
2016-07-14T00:00:00.000,01010000,1720.0
2016-07-15T00:00:00.000,01010000,2290.0
2016-07-16T00:00:00.000,01010000,2580.0
2016-07-17T00:00:00.000,01010000,1830.0
2016-07-18T00:00:00.000,01010000,1410.0
2016-07-19T00:00:00.000,01010000,1240.0
2016-07-20T00:00:00.000,01010000,1010.0
2016-07-21T00:00:00.000,01010000,775.0
2016-07-22T00:00:00.000,01010000,620.0
2016-07-23T00:00:00.000,01010000,529.0
2016-07-24T00:00:00.000,01010000,651.0
2016-07-25T00:00:00.000,01010000,791.0
2016-07-26T00:00:00.000,01010000,674.0
2016-07-27T00:00:00.000,01010000,1400.0
2016-07-28T00:00:00.000,01010000,1320.0
2016-07-29T00:00:00.000,01010000,859.0
2016-07-30T00:00:00.000,01010000,604.0
2016-07-31T00:00:00.000,01010000,468.0
2016-08-01T00:00:00.000,01010000,371.0
2016-08-02T00:00:00.000,01010000,306.0
2016-08-03T00:00:00.000,01010000,258.0
2016-08-04T00:00:00.000,01010000,223.0
2016-08-05T00:00:00.000,01010000,194.0
2016-08-06T00:00:00.000,01010000,195.0
2016-08-07T00:00:00.000,01010000,202.0
2016-08-08T00:00:00.000,01010000,222.0
2016-08-09T00:00:00.000,01010000,184.0
2016-08-10T00:00:00.000,01010000,169.0
2016-08-11T00:00:00.000,01010000,157.0
2016-08-12T00:00:00.000,01010000,187.0
2016-08-13T00:00:00.000,01010000,291.0
2016-08-14T00:00:00.000,01010000,1390.0
2016-08-15T00:00:00.000,01010000,6190.0
2016-08-16T00:00:00.000,01010000,5650.0
2016-08-17T00:00:00.000,01010000,6050.0
2016-08-18T00:00:00.000,01010000,8250.0
2016-08-19T00:00:00.000,01010000,7110.0
2016-08-20T00:00:00.000,01010000,4780.0
2016-08-21T00:00:00.000,01010000,2830.0
2016-08-22T00:00:00.000,01010000,2250.0
2016-08-23T00:00:00.000,01010000,3560.0
2016-08-24T00:00:00.000,01010000,3260.0
2016-08-25T00:00:00.000,01010000,2260.0
2016-08-26T00:00:00.000,01010000,1640.0
2016-08-27T00:00:00.000,01010000,1290.0
2016-08-28T00:00:00.000,01010000,1040.0
2016-08-29T00:00:00.000,01010000,887.0
2016-08-30T00:00:00.000,01010000,791.0
2016-08-31T00:00:00.000,01010000,688.0
2016-09-01T00:00:00.000,01010000,593.0
2016-09-02T00:00:00.000,01010000,541.0
2016-09-03T00:00:00.000,01010000,542.0
2016-09-04T00:00:00.000,01010000,458.0
2016-09-05T00:00:00.000,01010000,385.0
2016-09-06T00:00:00.000,01010000,335.0
2016-09-07T00:00:00.000,01010000,295.0
2016-09-08T00:00:00.000,01010000,271.0
2016-09-09T00:00:00.000,01010000,333.0
2016-09-10T00:00:00.000,01010000,419.0
2016-09-11T00:00:00.000,01010000,405.0
2016-09-12T00:00:00.000,01010000,444.0
2016-09-13T00:00:00.000,01010000,488.0
2016-09-14T00:00:00.000,01010000,449.0
2016-09-15T00:00:00.000,01010000,458.0
2016-09-16T00:00:00.000,01010000,503.0
2016-09-17T00:00:00.000,01010000,407.0
2016-09-18T00:00:00.000,01010000,359.0
2016-09-19T00:00:00.000,01010000,326.0
2016-09-20T00:00:00.000,01010000,351.0
2016-09-21T00:00:00.000,01010000,457.0
2016-09-22T00:00:00.000,01010000,388.0
2016-09-23T00:00:00.000,01010000,362.0
2016-09-24T00:00:00.000,01010000,378.0
2016-09-25T00:00:00.000,01010000,403.0
2016-09-26T00:00:00.000,01010000,343.0
2016-09-27T00:00:00.000,01010000,300.0
2016-09-28T00:00:00.000,01010000,277.0
2016-09-29T00:00:00.000,01010000,273.0
2016-09-30T00:00:00.000,01010000,259.0
2016-10-01T00:00:00.000,01010000,237.0
2016-10-02T00:00:00.000,01010000,217.0
2016-10-03T00:00:00.000,01010000,200.0
2016-10-04T00:00:00.000,01010000,184.0
2016-10-05T00:00:00.000,01010000,173.0
2016-10-06T00:00:00.000,01010000,165.0
2016-10-07T00:00:00.000,01010000,156.0
2016-10-08T00:00:00.000,01010000,148.0
2016-10-09T00:00:00.000,01010000,141.0
2016-10-10T00:00:00.000,01010000,133.0
2016-10-11T00:00:00.000,01010000,129.0
2016-10-12T00:00:00.000,01010000,122.0
2016-10-13T00:00:00.000,01010000,119.0
2016-10-14T00:00:00.000,01010000,118.0
2016-10-15T00:00:00.000,01010000,120.0
2016-10-16T00:00:00.000,01010000,136.0
2016-10-17T00:00:00.000,01010000,167.0
2016-10-18T00:00:00.000,01010000,357.0
2016-10-19T00:00:00.000,01010000,490.0
2016-10-20T00:00:00.000,01010000,784.0
2016-10-21T00:00:00.000,01010000,2720.0
2016-10-22T00:00:00.000,01010000,14500.0
2016-10-23T00:00:00.000,01010000,20600.0
2016-10-24T00:00:00.000,01010000,16900.0
2016-10-25T00:00:00.000,01010000,11400.0
2016-10-26T00:00:00.000,01010000,7040.0
2016-10-27T00:00:00.000,01010000,4890.0
2016-10-28T00:00:00.000,01010000,3730.0
2016-10-29T00:00:00.000,01010000,3180.0
2016-10-30T00:00:00.000,01010000,3110.0
2016-10-31T00:00:00.000,01010000,3220.0
2016-11-01T00:00:00.000,01010000,2880.0
2016-11-02T00:00:00.000,01010000,2890.0
2016-11-03T00:00:00.000,01010000,3680.0
2016-11-04T00:00:00.000,01010000,4510.0
2016-11-05T00:00:00.000,01010000,4410.0
2016-11-06T00:00:00.000,01010000,3590.0
2016-11-07T00:00:00.000,01010000,2900.0
2016-11-08T00:00:00.000,01010000,2440.0
2016-11-09T00:00:00.000,01010000,2140.0
2016-11-10T00:00:00.000,01010000,1900.0
2016-11-11T00:00:00.000,01010000,1730.0
2016-11-12T00:00:00.000,01010000,1780.0
2016-11-13T00:00:00.000,01010000,1690.0
2016-11-14T00:00:00.000,01010000,1530.0
2016-11-15T00:00:00.000,01010000,1380.0
2016-11-16T00:00:00.000,01010000,1560.0
2016-11-17T00:00:00.000,01010000,4950.0
2016-11-18T00:00:00.000,01010000,4900.0
2016-11-19T00:00:00.000,01010000,3760.0
2016-11-20T00:00:00.000,01010000,3010.0
2016-11-21T00:00:00.000,01010000,3040.0
2016-11-22T00:00:00.000,01010000,3070.0
2016-11-23T00:00:00.000,01010000,2670.0
2016-11-24T00:00:00.000,01010000,2260.0
2016-11-25T00:00:00.000,01010000,1970.0
2016-11-26T00:00:00.000,01010000,1790.0
2016-11-27T00:00:00.000,01010000,1710.0
2016-11-28T00:00:00.000,01010000,1700.0
